store_record_id,retailer_id,retailer_nm,store_id,store_address_1,store_address_2,store_city,store_state,store_zip_code,store_county,vpid,retailer_nm_modified
1,533,Target,28,mcmheyxuzfovcql,autqtndfoyyecbj,tcdudtzhgx,IL,44501,County134,24973,Targethz
2,315,Trader Joes,15,ivfptxahtmubhmt,khhsyjynsibbqgk,gppmvugarh,FL,51787,County118,35522,Trader Joes95
3,419,Walgreens,52,jthinnvoqqcnipl,forpgfpudtzyigo,myrifsmupn,TX,30360,County75,55924,qqWalgreens
4,660,Walmart,94,zmnrqzbqgfnlimd,mywwxeacltlzfyy,cshuzhvsxk,TX,81614,County41,94793,W a lmxar tx
5,848,Walmart,73,xhqrqrxmfuttvdz,tjvjgxxbhjkqxtt,lawdheatds,NY,85199,County9,42378,Walmarten
6,912,Best Buy,88,sdhpkjqdppemjlt,yproqhwpvatfnun,xiviehoifx,CA,67606,County124,40660,Best Buyfdf
7,752,Whole Foods,13,srlimmrwrgoizok,hardglbudsvaeww,cxygpjwlrb,NY,40502,County101,34246,Whole Foodsyjjq
8,532,Best Buy,96,ovbtnnrksidiihv,kcnguzspqxhwufz,xtaiwjiqya,FL,54283,County70,65235,Best Buytk
9,934,Home Depot,66,krnmvrmbybauurn,sjtzzslqoutgyhj,vawjgxzacw,OH,13184,County44,24976,Ho mxe De p o t 
10,330,Walgreens,46,nnyvtcrdkdqkrnv,bafiubilaadvsqd,ttmmqtlbyy,NY,56974,County57,84249,W axlxg re exnxs 
11,669,Home Depot,92,uzisnqtugzabtie,owohsbcqqehyglz,wmqbiueqeu,PA,34888,County85,71765,Home Depotzl
12,481,Petco,26,mpevhuqnberrhsh,vzuqtprfgdcwxwv,oczyiyiyqe,IL,74856,County68,96673,P e txco 
13,101,Trader Joes,5,xihqskglcumfqlh,jedjjqftjtjpmyt,lzwmcqdcyq,TX,33198,County70,86717,taaraaaaadaaEaaraa aajaaOaaEaaS
14,471,Walgreens,24,qrhfixrwpzvmees,jiptnjgkchrcvil,cprzalpwqk,CA,11498,County61,25262,Walgreens41
15,694,CVS,67,aunyqwmbkznxrrm,jugzvownmaaccvr,osqvuyltvp,FL,35318,County31,10595,C V S 
16,605,Best Buy,80,jsxfjmyfgrjnisr,tulmmbgcposssqt,bkqrgfshql,NY,91110,County36,43686,BaaeaasaaTaa aabaauaaY
17,991,Petco,70,dejbanhqgpjtyxr,ulquijqfrogvjdd,dlnckeegff,CA,42379,County50,76045,Petco53
18,379,CVS,74,jkxfqczsfvmnpem,txhcuolmrusttie,vfdrgbfajm,PA,45024,County133,41628,CVS55
19,937,Target,83,zivzruwlhfrkdcp,vzdmbyixhvbfytg,zwfodiptch,NY,29537,County110,61974,taaaaaRaaGaaEaat
20,966,Trader Joes,64,lxjxsfhgwfqnjds,shdxwurrxbdlhmy,fikirjsfwu,PA,56350,County64,22260,ggTrader Joes
21,159,Home Depot,58,seuackmvgilbnpj,pqauystzflviekf,ohetedelfa,TX,55896,County52,91522,rrHome Depot
22,401,Walgreens,52,rmcrtgowcyvjeaz,avxmrgqhadmjhkd,pvpjinylaf,OH,43657,County16,36692,waaAaaLaaGaaRaaEaaeaanaaS
23,159,Home Depot,36,ltkkqiibwciqhwb,ajnugkbskpnsiji,crrszmnhxb,OH,35182,County82,29030,Hxoxmex  Dxexpo t 
24,963,Petco,27,emdccvzoulucvnw,pavbqywhtswhtwh,ieshagbnpj,CA,16407,County49,32994,Pxext cxo 
25,482,Best Buy,30,aoktscumidcpnid,nbofbychtzltgab,rbkmwuyual,PA,71345,County78,11867,Best Buy80
26,597,CVS,46,xuoegkjsfkxpehj,dmxqfhuzcpwkqww,qqxucvvwyw,IL,73603,County37,39378,C V Sx
27,187,CVS,22,jrmrdzynyecffnv,jvahtwrvrgdkqwz,kcegipkixf,TX,74567,County139,25183,ccCVS
28,779,Trader Joes,44,wvxipcbxchxoafy,llcxowmdgdustzo,mysgmhwtvm,CA,38117,County84,85760,T rxadexr xJ o exs 
29,366,Trader Joes,10,bwnquzbexbnicxk,iyaykuxggmhfnsm,otubaafmvc,IL,70557,County113,40513,TaaRaaaaaDaaeaaraa aaJaaOaaeaas
